,Unnamed: 0,label,predicate,org_label
52,257,based on,http://www.wikidata.org/prop/direct/P144,based on
183,8320,basin countri,http://www.wikidata.org/prop/direct/P205,basin country
183,8320,basin country,http://www.wikidata.org/prop/direct/P205,basin country
53,263,bbfc rate,http://www.wikidata.org/prop/direct/P2629,BBFC rating
103,1323,box offic,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,box office,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,box offici,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,boxer office,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,boxi office,http://www.wikidata.org/prop/direct/P2142,box office
161,5278,broadcast by,http://www.wikidata.org/prop/direct/P3301,broadcast by
184,8384,busi model,http://www.wikidata.org/prop/direct/P7936,business model
184,8384,business model,http://www.wikidata.org/prop/direct/P7936,business model
90,738,capit,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capit of,http://www.wikidata.org/prop/direct/P1376,capital of
90,738,capital,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capital of,http://www.wikidata.org/prop/direct/P1376,capital of
90,738,capitalis,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capitalis of,http://www.wikidata.org/prop/direct/P1376,capital of
7,9,cast member,http://www.wikidata.org/prop/direct/P161,cast member
7,9,caster member,http://www.wikidata.org/prop/direct/P161,cast member
220,29847,caus cause,http://www.wikidata.org/prop/direct/P828,has cause
231,52651,caus edition or translation,http://www.wikidata.org/prop/direct/P747,has edition or translation
177,6657,caus effect,http://www.wikidata.org/prop/direct/P1542,has effect
111,1651,caus of death,http://www.wikidata.org/prop/direct/P509,cause of death
40,147,caus part,http://www.wikidata.org/prop/direct/P527,has part
238,71095,caus pet,http://www.wikidata.org/prop/direct/P1429,has pet
51,253,caus quality,http://www.wikidata.org/prop/direct/P1552,has quality
148,4446,caus works in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
111,1651,causal of death,http://www.wikidata.org/prop/direct/P509,cause of death
111,1651,causat of death,http://www.wikidata.org/prop/direct/P509,cause of death
111,1651,cause of death,http://www.wikidata.org/prop/direct/P509,cause of death
1,1,charact,http://www.wikidata.org/prop/direct/P674,characters
235,63064,charact design,http://www.wikidata.org/prop/direct/P8670,character designer
235,63064,charact designer,http://www.wikidata.org/prop/direct/P8670,character designer
1,1,character,http://www.wikidata.org/prop/direct/P674,characters
235,63064,character design,http://www.wikidata.org/prop/direct/P8670,character designer
235,63064,character designer,http://www.wikidata.org/prop/direct/P8670,character designer
1,1,characteris,http://www.wikidata.org/prop/direct/P674,characters
235,63064,characteris designer,http://www.wikidata.org/prop/direct/P8670,character designer
1,1,characterist,http://www.wikidata.org/prop/direct/P674,characters
1,1,characters,http://www.wikidata.org/prop/direct/P674,characters
60,320,child,http://www.wikidata.org/prop/direct/P40,child
230,50386,choreograph,http://www.wikidata.org/prop/direct/P1809,choreographer
230,50386,choreographer,http://www.wikidata.org/prop/direct/P1809,choreographer
209,19405,citat work,http://www.wikidata.org/prop/direct/P2860,cites work
209,19405,citats work,http://www.wikidata.org/prop/direct/P2860,cites work
209,19405,cite work,http://www.wikidata.org/prop/direct/P2860,cites work
209,19405,cites form,http://www.wikidata.org/prop/direct/P2860,cites work
209,19405,cites work,http://www.wikidata.org/prop/direct/P2860,cites work
209,19405,cites worker,http://www.wikidata.org/prop/direct/P2860,cites work
112,1670,classind rate,http://www.wikidata.org/prop/direct/P3216,ClassInd rating
64,345,cnc film rate ( franc ),http://www.wikidata.org/prop/direct/P2758,CNC film rating (France)
100,954,cnc film rate ( romania ),http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania)
202,13404,collect,http://www.wikidata.org/prop/direct/P195,collection
202,13404,collection,http://www.wikidata.org/prop/direct/P195,collection
202,13404,collectorion,http://www.wikidata.org/prop/direct/P195,collection
19,29,color,http://www.wikidata.org/prop/direct/P462,color
19,29,colour,http://www.wikidata.org/prop/direct/P462,color
236,67740,confabred by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,confer by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,confere by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,conferered by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,conferr by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,conferred by,http://www.wikidata.org/prop/direct/P1027,conferred by
236,67740,conferrred by,http://www.wikidata.org/prop/direct/P1027,conferred by
92,793,conflict,http://www.wikidata.org/prop/direct/P607,conflict
136,3185,contain administr territori entiti,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
136,3185,contain administrative territorial entity,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
136,3185,contains administrative territori entity,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
136,3185,contains administrative territorial entity,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
198,11293,contin,http://www.wikidata.org/prop/direct/P30,continent
136,3185,contin administrative territorial entity,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
198,11293,continent,http://www.wikidata.org/prop/direct/P30,continent
136,3185,contins administrative territorial entity,http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
124,2218,contribut to the creative work or subject,http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
124,2218,contributor to the creativ work or subject,http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
124,2218,contributor to the creative form or subject,http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
124,2218,contributor to the creative work or subject,http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
124,2218,contributor to the creative worker or subject,http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
210,19526,convict of,http://www.wikidata.org/prop/direct/P1399,convicted of
210,19526,convicted of,http://www.wikidata.org/prop/direct/P1399,convicted of
211,19594,copyright hold,http://www.wikidata.org/prop/direct/P3931,copyright holder
211,19594,copyright holder,http://www.wikidata.org/prop/direct/P3931,copyright holder
234,58694,copyright licenc,http://www.wikidata.org/prop/direct/P275,copyright license
234,58694,copyright licens,http://www.wikidata.org/prop/direct/P275,copyright license
234,58694,copyright license,http://www.wikidata.org/prop/direct/P275,copyright license
234,58694,copyright licenti,http://www.wikidata.org/prop/direct/P275,copyright license
213,20844,copyright repres,http://www.wikidata.org/prop/direct/P6275,copyright representative
213,20844,copyright representative,http://www.wikidata.org/prop/direct/P6275,copyright representative
46,215,copyright statu,http://www.wikidata.org/prop/direct/P6216,copyright status
46,215,copyright status,http://www.wikidata.org/prop/direct/P6216,copyright status
57,285,costum design,http://www.wikidata.org/prop/direct/P2515,costume designer
