,Unnamed: 0,label,predicate
7,9,caster member,http://www.wikidata.org/prop/direct/P161
220,29847,caus cause,http://www.wikidata.org/prop/direct/P828
231,52651,caus edition or translation,http://www.wikidata.org/prop/direct/P747
177,6657,caus effect,http://www.wikidata.org/prop/direct/P1542
111,1651,caus of death,http://www.wikidata.org/prop/direct/P509
40,147,caus part,http://www.wikidata.org/prop/direct/P527
238,71095,caus pet,http://www.wikidata.org/prop/direct/P1429
51,253,caus quality,http://www.wikidata.org/prop/direct/P1552
148,4446,caus works in the collection,http://www.wikidata.org/prop/direct/P6379
111,1651,causal of death,http://www.wikidata.org/prop/direct/P509
111,1651,causat of death,http://www.wikidata.org/prop/direct/P509
111,1651,cause of death,http://www.wikidata.org/prop/direct/P509
1,1,charact,http://www.wikidata.org/prop/direct/P674
235,63064,charact design,http://www.wikidata.org/prop/direct/P8670
235,63064,charact designer,http://www.wikidata.org/prop/direct/P8670
1,1,character,http://www.wikidata.org/prop/direct/P674
235,63064,character design,http://www.wikidata.org/prop/direct/P8670
235,63064,character designer,http://www.wikidata.org/prop/direct/P8670
1,1,characteris,http://www.wikidata.org/prop/direct/P674
235,63064,characteris designer,http://www.wikidata.org/prop/direct/P8670
1,1,characterist,http://www.wikidata.org/prop/direct/P674
1,1,characters,http://www.wikidata.org/prop/direct/P674
60,320,child,http://www.wikidata.org/prop/direct/P40
230,50386,choreograph,http://www.wikidata.org/prop/direct/P1809
230,50386,choreographer,http://www.wikidata.org/prop/direct/P1809
209,19405,citat work,http://www.wikidata.org/prop/direct/P2860
209,19405,citats work,http://www.wikidata.org/prop/direct/P2860
209,19405,cite work,http://www.wikidata.org/prop/direct/P2860
209,19405,cites form,http://www.wikidata.org/prop/direct/P2860
209,19405,cites work,http://www.wikidata.org/prop/direct/P2860
209,19405,cites worker,http://www.wikidata.org/prop/direct/P2860
112,1670,classind rate,http://www.wikidata.org/prop/direct/P3216
64,345,cnc film rate ( franc ),http://www.wikidata.org/prop/direct/P2758
100,954,cnc film rate ( romania ),http://www.wikidata.org/prop/direct/P3402
202,13404,collect,http://www.wikidata.org/prop/direct/P195
202,13404,collection,http://www.wikidata.org/prop/direct/P195
202,13404,collectorion,http://www.wikidata.org/prop/direct/P195
19,29,color,http://www.wikidata.org/prop/direct/P462
19,29,colour,http://www.wikidata.org/prop/direct/P462
236,67740,confabred by,http://www.wikidata.org/prop/direct/P1027
236,67740,confer by,http://www.wikidata.org/prop/direct/P1027
